,DIN,Keep,Opioid,Form,Route,Brand,MED_per_dispensing_unit,No_tabs/ml assuming 50 MED limit per day,No_tabs/ml assuming 90 MED limit per day,Maximum No_tabs/ml assuming 50 MED limit for 7 days,Maximum No_tabs/ml assuming 50 MED limit for 14 days,Maximum No_tabs/ml assuming 50 MED limit for 30 days,Status1
166,2213826,NA,NALTREXONE HYDROCHLORIDE 50 MG,TABLET,ORAL,REVIA,Couldn't be calculated,NA,NA,NA,NA,NA,MARKETED
167,2230302,NA,"CODEINE (CODEINE MONOHYDRATE, Codeine Sulfate Trihydrate) 50 MG",TABLET (EXTENDED-RELEASE),ORAL,CODEINE CONTIN 50MG CONTROLLED RELEASE TAB,7.5,7,12,49,98,210,MARKETED
168,2231934,NA,OXYCODONE HYDROCHLORIDE 5 MG,TABLET,ORAL,OXY.IR,7.5,7,12,49,98,210,MARKETED
169,2232389,Keep,CODEINE PHOSPHATE 30 MG,TABLET,ORAL,EXDOL-30,4.5,11,20,77,154,330,CANCELLED POST MARKET
170,2232658,Keep,CODEINE PHOSPHATE 30 MG,TABLET,ORAL,PROCET-30,4.5,11,20,77,154,330,MARKETED
171,2234509,NA,DEXTROPROPOXYPHENE HYDROCHLORIDE 65 MG,TABLET,ORAL,692 TABLET,19.5,3,5,21,42,90,CANCELLED POST MARKET
172,2234510,Keep,CODEINE PHOSPHATE 15 MG,TABLET,ORAL,282 TABLETS,2.25,22,40,154,308,660,DORMANT
173,2236871,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,"(EXTRA STRENGTH) ACETAMINOPHEN, CAFFEINE & 8MG CODEINE PHOSPHATE CAPLETS",1.2,42,75,294,588,1260,CANCELLED POST MARKET
174,2236872,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,METHOXACET-C 1/8,1.2,42,75,294,588,1260,CANCELLED POST MARKET
175,2237578,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,SPASMHALT-8,1.2,42,75,294,588,1260,MARKETED
176,2237580,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,SPASMHALT-ASA-8,1.2,42,75,294,588,1260,CANCELLED POST MARKET
177,2238645,Keep,CODEINE PHOSPHATE 30 MG,TABLET,ORAL,292 TABLETS,4.5,11,20,77,154,330,DORMANT
178,2238670,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,C-2 BUFFERED WITH CODEINE,1.2,42,75,294,588,1260,CANCELLED POST MARKET
179,2240131,NA,OXYCODONE HYDROCHLORIDE 10 MG,TABLET,ORAL,OXY.IR,15,3,6,21,42,90,MARKETED
180,2240132,NA,OXYCODONE HYDROCHLORIDE 20 MG,TABLET (IMMEDIATE RELEASE),ORAL,OXY.IR,30,2,3,14,28,60,MARKETED
181,2241377,NA,METHADONE HYDROCHLORIDE 10 MG,SOLUTION,ORAL,METADOL,Couldn't be calculated,NA,NA,NA,NA,NA,MARKETED
182,2242163,Keep,MORPHINE SULFATE 10 MG,CAPSULE (SUSTAINED-RELEASE),ORAL,KADIAN,10,5,9,35,70,150,MARKETED
183,2242180,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,MUSCLE & BACK PAIN RELIEF - 8,1.2,42,75,294,588,1260,MARKETED
184,2242406,Keep,CODEINE PHOSPHATE 15 MG,CAPSULE,ORAL,TRIANAL C¼,2.25,22,40,154,308,660,MARKETED
185,2242468,NA,OXYCODONE HYDROCHLORIDE 5 MG,TABLET,ORAL,RIVACOCET,7.5,7,12,49,98,210,MARKETED
186,2243562,NA,HYDROMORPHONE HYDROCHLORIDE 18 MG,CAPSULE (SUSTAINED-RELEASE),ORAL,HYDROMORPH CONTIN-CONTROLLED RELEASE CAP - 18MG,90,1,1,7,14,30,MARKETED
187,2243978,Keep,CODEINE PHOSPHATE 15 MG,TABLET,ORAL,PMS-CODEINE,2.25,22,40,154,308,660,CANCELLED POST MARKET
188,2243979,Keep,CODEINE PHOSPHATE 30 MG,TABLET,ORAL,PMS-CODEINE,4.5,11,20,77,154,330,CANCELLED POST MARKET
189,2244290,NA,METHADONE HYDROCHLORIDE 10 MG,SOLUTION,ORAL,METADOL-D,Couldn't be calculated,NA,NA,NA,NA,NA,MARKETED
190,2244790,NA,MORPHINE SULFATE 15 MG,TABLET (EXTENDED-RELEASE),ORAL,SANDOZ MORPHINE SR,15,3,6,21,42,90,MARKETED
191,2244791,NA,MORPHINE SULFATE 30 MG,TABLET (EXTENDED-RELEASE),ORAL,SANDOZ MORPHINE SR,30,2,3,14,28,60,MARKETED
192,2244792,NA,MORPHINE SULFATE 60 MG,TABLET (EXTENDED-RELEASE),ORAL,SANDOZ MORPHINE SR,60,1,2,7,14,30,MARKETED
193,2245284,NA,MORPHINE SULFATE 15 MG,TABLET (EXTENDED-RELEASE),ORAL,PMS-MORPHINE SULFATE SR 15 MG,15,3,6,21,42,90,CANCELLED POST MARKET
194,2245285,NA,MORPHINE SULFATE 30 MG,TABLET (EXTENDED-RELEASE),ORAL,PMS-MORPHINE SULFATE SR 30 MG,30,2,3,14,28,60,CANCELLED POST MARKET
195,2245286,NA,MORPHINE SULFATE 60 MG,TABLET (EXTENDED-RELEASE),ORAL,PMS-MORPHINE SULFATE SR 60 MG,60,1,2,7,14,30,CANCELLED POST MARKET
196,2245287,NA,MORPHINE SULFATE 100 MG,TABLET (EXTENDED-RELEASE),ORAL,PMS-MORPHINE SULFATE SR 100 MG,100,0,1,0,0,0,CANCELLED POST MARKET
197,2245288,NA,MORPHINE SULFATE 200 MG,TABLET (EXTENDED-RELEASE),ORAL,PMS-MORPHINE SULFATE SR 200 MG,200,0,0,0,0,0,CANCELLED POST MARKET
198,2245670,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,A.C. & C. 8 MG,1.2,42,75,294,588,1260,APPROVED
199,2245703,Keep,HYDROMORPHONE HYDROCHLORIDE 2 MG,TABLET,ORAL,HYDROMORPH.IR - 2MG,10,5,9,35,70,150,CANCELLED POST MARKET
200,2245704,NA,HYDROMORPHONE HYDROCHLORIDE 4 MG,TABLET,ORAL,HYDROMORPH.IR - 4MG,20,2,4,14,28,60,CANCELLED POST MARKET
201,2245705,NA,HYDROMORPHONE HYDROCHLORIDE 8 MG,TABLET,ORAL,HYDROMORPH.IR - 8MG,40,1,2,7,14,30,CANCELLED POST MARKET
202,2245758,NA,OXYCODONE HYDROCHLORIDE 5 MG,TABLET,ORAL,PMS-OXYCODONE - ACETAMINOPHEN,7.5,7,12,49,98,210,CANCELLED POST MARKET
203,2246085,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,"ACETAMINOPHEN, CAFFEINE & 8MG CODEINE PHOSPHATE TABLETS",1.2,42,75,294,588,1260,DORMANT
204,2246103,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,"ACETYLSALICYLIC ACID, CAFFEINE & 8 MG CODEINE PHOSPHATE TABLETS",1.2,42,75,294,588,1260,DORMANT
205,2247374,NA,METHADONE HYDROCHLORIDE 1 MG,SOLUTION,ORAL,METADOL-D,Couldn't be calculated,NA,NA,NA,NA,NA,MARKETED
206,2247693,NA,METHADONE HYDROCHLORIDE 1 MG,TABLET,ORAL,METADOL-D,Couldn't be calculated,NA,NA,NA,NA,NA,APPROVED
207,2247694,NA,METHADONE HYDROCHLORIDE 1 MG,SOLUTION,ORAL,METADOL,Couldn't be calculated,NA,NA,NA,NA,NA,MARKETED
208,2247695,NA,METHADONE HYDROCHLORIDE 5 MG,TABLET,ORAL,METADOL-D,Couldn't be calculated,NA,NA,NA,NA,NA,APPROVED
209,2247696,NA,METHADONE HYDROCHLORIDE 10 MG,TABLET,ORAL,METADOL-D,Couldn't be calculated,NA,NA,NA,NA,NA,APPROVED
210,2247697,NA,METHADONE HYDROCHLORIDE 25 MG,TABLET,ORAL,METADOL-D,Couldn't be calculated,NA,NA,NA,NA,NA,APPROVED
211,2247698,NA,METHADONE HYDROCHLORIDE 1 MG,TABLET,ORAL,METADOL,Couldn't be calculated,NA,NA,NA,NA,NA,MARKETED
212,2247699,NA,METHADONE HYDROCHLORIDE 5 MG,TABLET,ORAL,METADOL,Couldn't be calculated,NA,NA,NA,NA,NA,MARKETED
213,2247700,NA,METHADONE HYDROCHLORIDE 10 MG,TABLET,ORAL,METADOL,Couldn't be calculated,NA,NA,NA,NA,NA,MARKETED
214,2247701,NA,METHADONE HYDROCHLORIDE 25 MG,TABLET,ORAL,METADOL,Couldn't be calculated,NA,NA,NA,NA,NA,MARKETED
215,2248817,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,"ACETAMINOPHEN, CAFFEINE AND 8 MG OF CODEINE PHOSPHATE TABLETS",1.2,42,75,294,588,1260,DORMANT
216,2248977,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,MUSCLE AND BACK PAIN RELIEF-8,1.2,42,75,294,588,1260,DORMANT
217,2249391,NA,FENTANYL 2.5 MG,PATCH,TRANSDERMAL,RAN-FENTANYL TRANSDERMAL SYSTEM,100,0,1,0,0,0,CANCELLED POST MARKET
218,2249413,NA,FENTANYL 5 MG,PATCH,TRANSDERMAL,RAN-FENTANYL TRANSDERMAL SYSTEM,200,0,0,0,0,0,CANCELLED POST MARKET
219,2249421,NA,FENTANYL 7.5 MG,PATCH,TRANSDERMAL,RAN-FENTANYL TRANSDERMAL SYSTEM,300,0,0,0,0,0,CANCELLED POST MARKET
220,2249448,NA,FENTANYL 10 MG,PATCH,TRANSDERMAL,RAN-FENTANYL TRANSDERMAL SYSTEM,400,0,0,0,0,0,CANCELLED POST MARKET
221,2249928,Keep,HYDROMORPHONE HYDROCHLORIDE 2 MG,TABLET,ORAL,HYDROMORPHONE,10,5,9,35,70,150,CANCELLED POST MARKET
222,2249936,NA,HYDROMORPHONE HYDROCHLORIDE 4 MG,TABLET,ORAL,HYDROMORPHONE,20,2,4,14,28,60,CANCELLED POST MARKET
223,2250551,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,MUSCLE AND BACK PAIN RELIEF - 8 TABLETS,1.2,42,75,294,588,1260,DORMANT
224,2250683,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,ASA-CAFFEINE-CODEINE,1.2,42,75,294,588,1260,APPROVED
225,2254182,NA,MORPHINE SULFATE 20 MG,CAPSULE (SUSTAINED-RELEASE),ORAL,ZOMORPH,20,2,4,14,28,60,APPROVED
226,2254190,NA,MORPHINE SULFATE 40 MG,CAPSULE (SUSTAINED-RELEASE),ORAL,ZOMORPH,40,1,2,7,14,30,APPROVED
227,2254204,NA,MORPHINE SULFATE 60 MG,CAPSULE (SUSTAINED-RELEASE),ORAL,ZOMORPH,60,1,2,7,14,30,APPROVED
228,2254212,NA,MORPHINE SULFATE 120 MG,CAPSULE (SUSTAINED-RELEASE),ORAL,ZOMORPH,120,0,1,0,0,0,APPROVED
229,2254220,NA,MORPHINE SULFATE 200 MG,CAPSULE (SUSTAINED-RELEASE),ORAL,ZOMORPH,200,0,0,0,0,0,APPROVED
230,2254263,Keep,CODEINE PHOSPHATE 60 MG,TABLET,ORAL,PHL-ACET-CODEINE 60,9,6,10,42,84,180,CANCELLED POST MARKET
231,2254271,Keep,CODEINE PHOSPHATE 30 MG,TABLET,ORAL,PHL-ACET-CODEINE 30,4.5,11,20,77,154,330,CANCELLED POST MARKET
232,2254700,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,ACETAMINOPHEN-CAFFEINE-CODEINE,1.2,42,75,294,588,1260,APPROVED
233,2258129,NA,OXYCODONE HYDROCHLORIDE 5 MG,TABLET (EXTENDED-RELEASE),ORAL,OXYCONTIN 5MG,7.5,7,12,49,98,210,CANCELLED POST MARKET
234,2258978,NA,CODEINE 8 MG,TABLET,ORAL,MUSCLE AND BACK PAIN RELIEF CAPLETS,1.2,42,75,294,588,1260,APPROVED
235,2262983,NA,OXYCODONE HYDROCHLORIDE 20 MG,TABLET,ORAL,SUPEUDOL,30,2,3,14,28,60,MARKETED
236,2264846,Keep,TRAMADOL HYDROCHLORIDE 37.5 MG,TABLET,ORAL,TRAMACET,3.75,13,24,91,182,390,MARKETED
237,2265052,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,APO-ACETACO #1,1.2,42,75,294,588,1260,APPROVED
238,2277816,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,"ACETAMINOPHEN 300MG, CAFFEINE & CODEINE",1.2,42,75,294,588,1260,APPROVED
239,2282941,NA,FENTANYL 25 MCG,PATCH,TRANSDERMAL,TEVA-FENTANYL,100,0,1,0,0,0,MARKETED
240,2282968,NA,FENTANYL 50 MCG,PATCH,TRANSDERMAL,TEVA-FENTANYL,200,0,0,0,0,0,MARKETED
241,2282976,NA,FENTANYL 75 MCG,PATCH,TRANSDERMAL,TEVA-FENTANYL,300,0,0,0,0,0,MARKETED
242,2282984,NA,FENTANYL 100 MCG,PATCH,TRANSDERMAL,TEVA-FENTANYL,400,0,0,0,0,0,MARKETED
243,2286424,NA,TRAMADOL HYDROCHLORIDE 150 MG,TABLET (EXTENDED-RELEASE),ORAL,ZYTRAM XL,15,3,6,21,42,90,MARKETED
244,2286432,NA,TRAMADOL HYDROCHLORIDE 200 MG,TABLET (EXTENDED-RELEASE),ORAL,ZYTRAM XL,20,2,4,14,28,60,MARKETED
245,2286440,NA,TRAMADOL HYDROCHLORIDE 300 MG,TABLET (EXTENDED-RELEASE),ORAL,ZYTRAM XL,30,2,3,14,28,60,MARKETED
246,2286459,NA,TRAMADOL HYDROCHLORIDE 400 MG,TABLET (EXTENDED-RELEASE),ORAL,ZYTRAM XL,40,1,2,7,14,30,MARKETED
247,2296381,NA,TRAMADOL HYDROCHLORIDE 100 MG,TABLET (EXTENDED-RELEASE),ORAL,TRIDURAL,10,5,9,35,70,150,MARKETED
248,2296403,NA,TRAMADOL HYDROCHLORIDE 200 MG,TABLET (EXTENDED-RELEASE),ORAL,TRIDURAL,20,2,4,14,28,60,MARKETED
249,2296411,NA,TRAMADOL HYDROCHLORIDE 300 MG,TABLET (EXTENDED-RELEASE),ORAL,TRIDURAL,30,2,3,14,28,60,MARKETED
250,2298708,NA,CODEINE PHOSPHATE 8 MG,ELIXIR,ORAL,ACETAMINOPHEN ELIXIR WITH 8MG CODEINE PHOSPHATE SYRUP,0.32,156,281,1092,2184,4680,APPROVED
251,2299194,NA,TRAMADOL HYDROCHLORIDE 100 MG,TABLET (EXTENDED-RELEASE),ORAL,RALIVIA,10,5,9,35,70,150,MARKETED
252,2299208,NA,TRAMADOL HYDROCHLORIDE 200 MG,TABLET (EXTENDED-RELEASE),ORAL,RALIVIA,20,2,4,14,28,60,MARKETED
253,2299216,NA,TRAMADOL HYDROCHLORIDE 300 MG,TABLET (EXTENDED-RELEASE),ORAL,RALIVIA,30,2,3,14,28,60,MARKETED
254,2302764,NA,MORPHINE SULFATE 15 MG,TABLET (EXTENDED-RELEASE),ORAL,TEVA-MORPHINE SR,15,3,6,21,42,90,MARKETED
255,2302772,NA,MORPHINE SULFATE 30 MG,TABLET (EXTENDED-RELEASE),ORAL,TEVA-MORPHINE SR,30,2,3,14,28,60,MARKETED
256,2302780,NA,MORPHINE SULFATE 60 MG,TABLET (EXTENDED-RELEASE),ORAL,TEVA-MORPHINE SR,60,1,2,7,14,30,MARKETED
257,2302799,NA,MORPHINE SULFATE 100 MG,TABLET (EXTENDED-RELEASE),ORAL,TEVA-MORPHINE SR,100,0,1,0,0,0,MARKETED
258,2302802,NA,MORPHINE SULFATE 200 MG,TABLET (EXTENDED-RELEASE),ORAL,TEVA-MORPHINE SR,200,0,0,0,0,0,MARKETED
259,2304120,NA,FENTANYL 25 MCG,PATCH (EXTENDED RELEASE),TRANSDERMAL,FENTANYL TRANSDERMAL SYSTEM 25,100,0,1,0,0,0,CANCELLED PRE MARKET
260,2304139,NA,FENTANYL 50 MCG,PATCH (EXTENDED RELEASE),TRANSDERMAL,FENTANYL TRANSDERMAL SYSTEM 50,200,0,0,0,0,0,CANCELLED PRE MARKET
261,2304147,NA,FENTANYL 75 MCG,PATCH (EXTENDED RELEASE),TRANSDERMAL,FENTANYL TRANSDERMAL SYSTEM 75,300,0,0,0,0,0,CANCELLED PRE MARKET
262,2304155,NA,FENTANYL 100 MCG,PATCH (EXTENDED RELEASE),TRANSDERMAL,FENTANYL TRANSDERMAL SYSTEM 100,400,0,0,0,0,0,CANCELLED PRE MARKET
263,2306530,NA,OXYCODONE HYDROCHLORIDE 40 MG,TABLET (EXTENDED-RELEASE),ORAL,APO-OXYCODONE CR,60,1,2,7,14,30,MARKETED
264,2307898,NA,OXYCODONE HYDROCHLORIDE 5 MG,TABLET,ORAL,SANDOZ OXYCODONE/ACETAMINOPHEN,7.5,7,12,49,98,210,MARKETED
265,2309882,NA,OXYCODONE HYDROCHLORIDE 10 MG,TABLET (EXTENDED-RELEASE),ORAL,PMS-OXYCODONE CR,15,3,6,21,42,90,MARKETED
266,2309890,NA,OXYCODONE HYDROCHLORIDE 20 MG,TABLET (EXTENDED-RELEASE),ORAL,PMS-OXYCODONE CR,30,2,3,14,28,60,MARKETED
267,2309904,NA,OXYCODONE HYDROCHLORIDE 40 MG,TABLET (EXTENDED-RELEASE),ORAL,PMS-OXYCODONE CR,60,1,2,7,14,30,MARKETED
268,2309912,NA,OXYCODONE HYDROCHLORIDE 80 MG,TABLET (EXTENDED-RELEASE),ORAL,PMS-OXYCODONE CR,120,0,1,0,0,0,MARKETED
269,2311925,NA,FENTANYL 12 MCG,PATCH,TRANSDERMAL,TEVA-FENTANYL,48,1,2,7,14,30,MARKETED
270,2314630,NA,FENTANYL 25 MCG,PATCH,TRANSDERMAL,APO-FENTANYL MATRIX,100,0,1,0,0,0,CANCELLED POST MARKET
271,2314649,NA,FENTANYL 50 MCG,PATCH,TRANSDERMAL,APO-FENTANYL MATRIX,200,0,0,0,0,0,CANCELLED POST MARKET
272,2314657,NA,FENTANYL 75 MCG,PATCH,TRANSDERMAL,APO-FENTANYL MATRIX,300,0,0,0,0,0,CANCELLED POST MARKET
273,2314665,NA,FENTANYL 100 MCG,PATCH,TRANSDERMAL,APO-FENTANYL MATRIX,400,0,0,0,0,0,CANCELLED POST MARKET
274,2319403,Keep,HYDROMORPHONE HYDROCHLORIDE 1 MG,TABLET,ORAL,TEVA-HYDROMORPHONE,5,10,18,70,140,300,MARKETED
275,2319411,Keep,HYDROMORPHONE HYDROCHLORIDE 2 MG,TABLET,ORAL,TEVA-HYDROMORPHONE,10,5,9,35,70,150,MARKETED
276,2319438,NA,HYDROMORPHONE HYDROCHLORIDE 4 MG,TABLET,ORAL,TEVA-HYDROMORPHONE,20,2,4,14,28,60,MARKETED
277,2319446,NA,HYDROMORPHONE HYDROCHLORIDE 8 MG,TABLET,ORAL,TEVA-HYDROMORPHONE,40,1,2,7,14,30,MARKETED
278,2319977,NA,OXYCODONE HYDROCHLORIDE 5 MG,TABLET,ORAL,PMS-OXYCODONE,7.5,7,12,49,98,210,MARKETED
279,2319985,NA,OXYCODONE HYDROCHLORIDE 10 MG,TABLET,ORAL,PMS-OXYCODONE,15,3,6,21,42,90,MARKETED
280,2319993,NA,OXYCODONE HYDROCHLORIDE 20 MG,TABLET,ORAL,PMS-OXYCODONE,30,2,3,14,28,60,MARKETED
281,2320398,Keep,MORPHINE SULFATE 5 MG,CAPSULE (IMMEDIATE RELEASE),ORAL,M-EDIAT,5,10,18,70,140,300,MARKETED
282,2320428,Keep,MORPHINE SULFATE 10 MG,CAPSULE (IMMEDIATE RELEASE),ORAL,M-EDIAT,10,5,9,35,70,150,MARKETED
283,2320436,NA,MORPHINE SULFATE 20 MG,CAPSULE (IMMEDIATE RELEASE),ORAL,M-EDIAT,20,2,4,14,28,60,MARKETED
284,2320444,NA,MORPHINE SULFATE 30 MG,CAPSULE (IMMEDIATE RELEASE),ORAL,M-EDIAT,30,2,3,14,28,60,MARKETED
285,2323214,NA,OXYCODONE HYDROCHLORIDE 60 MG,TABLET (EXTENDED-RELEASE),ORAL,OXYCONTIN,90,1,1,7,14,30,CANCELLED POST MARKET
286,2324628,NA,OXYCODONE HYDROCHLORIDE 5 MG,TABLET,ORAL,APO-OXYCODONE/ACET,7.5,7,12,49,98,210,MARKETED
287,2325950,NA,OXYCODONE HYDROCHLORIDE 5 MG,TABLET,ORAL,OXYCODONE,7.5,7,12,49,98,210,MARKETED
288,2325969,NA,OXYCODONE HYDROCHLORIDE 10 MG,TABLET,ORAL,OXYCODONE,15,3,6,21,42,90,MARKETED
289,2325977,NA,OXYCODONE HYDROCHLORIDE 20 MG,TABLET,ORAL,OXYCODONE,30,2,3,14,28,60,MARKETED
290,2327112,NA,FENTANYL 12 MCG,PATCH,TRANSDERMAL,SANDOZ FENTANYL PATCH,48,1,2,7,14,30,MARKETED
291,2327120,NA,FENTANYL 25 MCG,PATCH,TRANSDERMAL,SANDOZ FENTANYL PATCH,100,0,1,0,0,0,MARKETED
292,2327139,NA,FENTANYL 37 MCG,PATCH,TRANSDERMAL,SANDOZ FENTANYL PATCH,150,0,1,0,0,0,MARKETED
293,2327147,NA,FENTANYL 50 MCG,PATCH,TRANSDERMAL,SANDOZ FENTANYL PATCH,200,0,0,0,0,0,MARKETED
294,2327155,NA,FENTANYL 75 MCG,PATCH,TRANSDERMAL,SANDOZ FENTANYL PATCH,300,0,0,0,0,0,MARKETED
295,2327163,NA,FENTANYL 100 MCG,PATCH,TRANSDERMAL,SANDOZ FENTANYL PATCH,400,0,0,0,0,0,MARKETED
296,2327171,NA,OXYCODONE HYDROCHLORIDE 5 MG,TABLET,ORAL,OXYCODONE-ACET,7.5,7,12,49,98,210,MARKETED
297,2330105,NA,FENTANYL 12 MCG,PATCH,TRANSDERMAL,RAN-FENTANYL MATRIX PATCH,48,1,2,7,14,30,MARKETED
298,2330113,NA,FENTANYL 25 MCG,PATCH,TRANSDERMAL,RAN-FENTANYL MATRIX PATCH,100,0,1,0,0,0,MARKETED
299,2330121,NA,FENTANYL 50 MCG,PATCH,TRANSDERMAL,RAN-FENTANYL MATRIX PATCH,200,0,0,0,0,0,MARKETED
300,2330148,NA,FENTANYL 75 MCG,PATCH,TRANSDERMAL,RAN-FENTANYL MATRIX PATCH,300,0,0,0,0,0,MARKETED
301,2330156,NA,FENTANYL 100 MCG,PATCH,TRANSDERMAL,RAN-FENTANYL MATRIX PATCH,400,0,0,0,0,0,MARKETED
302,2336790,Keep,TRAMADOL HYDROCHLORIDE 37.5 MG,TABLET,ORAL,APO-TRAMADOL/ACET,3.75,13,24,91,182,390,MARKETED
303,2339609,NA,OXYCODONE HYDROCHLORIDE 10 MG,TABLET (EXTENDED-RELEASE),ORAL,TARGIN,15,3,6,21,42,90,MARKETED
304,2339609,NA,NALOXONE HYDROCHLORIDE 5 MG,TABLET (EXTENDED-RELEASE),ORAL,TARGIN,Couldn't be calculated,NA,NA,NA,NA,NA,MARKETED
305,2339609,NA,NALOXONE HYDROCHLORIDE 5 MG,TABLET (EXTENDED-RELEASE),ORAL,TARGIN,Couldn't be calculated,NA,NA,NA,NA,NA,MARKETED
306,2339609,NA,OXYCODONE HYDROCHLORIDE 10 MG,TABLET (EXTENDED-RELEASE),ORAL,TARGIN,15,3,6,21,42,90,MARKETED
307,2339617,NA,OXYCODONE HYDROCHLORIDE 20 MG,TABLET (EXTENDED-RELEASE),ORAL,TARGIN,30,2,3,14,28,60,MARKETED
308,2339617,NA,NALOXONE HYDROCHLORIDE 10 MG,TABLET (EXTENDED-RELEASE),ORAL,TARGIN,Couldn't be calculated,NA,NA,NA,NA,NA,MARKETED
309,2339617,NA,NALOXONE HYDROCHLORIDE 10 MG,TABLET (EXTENDED-RELEASE),ORAL,TARGIN,Couldn't be calculated,NA,NA,NA,NA,NA,MARKETED
310,2339617,NA,OXYCODONE HYDROCHLORIDE 20 MG,TABLET (EXTENDED-RELEASE),ORAL,TARGIN,30,2,3,14,28,60,MARKETED
311,2339625,NA,NALOXONE HYDROCHLORIDE 20 MG,TABLET (EXTENDED-RELEASE),ORAL,TARGIN,Couldn't be calculated,NA,NA,NA,NA,NA,MARKETED
312,2339625,NA,OXYCODONE HYDROCHLORIDE 40 MG,TABLET (EXTENDED-RELEASE),ORAL,TARGIN,60,1,2,7,14,30,MARKETED
313,2339625,NA,NALOXONE HYDROCHLORIDE 20 MG,TABLET (EXTENDED-RELEASE),ORAL,TARGIN,Couldn't be calculated,NA,NA,NA,NA,NA,MARKETED
314,2339625,NA,OXYCODONE HYDROCHLORIDE 40 MG,TABLET (EXTENDED-RELEASE),ORAL,TARGIN,60,1,2,7,14,30,MARKETED
315,2341174,NA,BUPRENORPHINE 5 MCG,PATCH,TRANSDERMAL,BUTRANS 5,Couldn't be calculated,NA,NA,NA,NA,NA,MARKETED
316,2341212,NA,BUPRENORPHINE 10 MCG,PATCH,TRANSDERMAL,BUTRANS 10,Couldn't be calculated,NA,NA,NA,NA,NA,MARKETED
317,2341220,NA,BUPRENORPHINE 20 MCG,PATCH,TRANSDERMAL,BUTRANS 20,Couldn't be calculated,NA,NA,NA,NA,NA,MARKETED
318,2341379,NA,FENTANYL 12 MCG,PATCH,TRANSDERMAL,PMS-FENTANYL MTX,48,1,2,7,14,30,MARKETED
319,2341387,NA,FENTANYL 25 MCG,PATCH,TRANSDERMAL,PMS-FENTANYL MTX,100,0,1,0,0,0,MARKETED
320,2341395,NA,FENTANYL 50 MCG,PATCH,TRANSDERMAL,PMS-FENTANYL MTX,200,0,0,0,0,0,MARKETED
321,2341409,NA,FENTANYL 75 MCG,PATCH,TRANSDERMAL,PMS-FENTANYL MTX,300,0,0,0,0,0,MARKETED
322,2341417,NA,FENTANYL 100 MCG,PATCH,TRANSDERMAL,PMS-FENTANYL MTX,400,0,0,0,0,0,MARKETED
323,2346362,NA,MORPHINE SULFATE 15 MG,TABLET (EXTENDED-RELEASE),ORAL,NTP-MORPHINE SR,15,3,6,21,42,90,CANCELLED PRE MARKET
324,2346370,NA,MORPHINE SULFATE 30 MG,TABLET (EXTENDED-RELEASE),ORAL,NTP-MORPHINE SR,30,2,3,14,28,60,CANCELLED PRE MARKET
325,2346389,NA,MORPHINE SULFATE 60 MG,TABLET (EXTENDED-RELEASE),ORAL,NTP-MORPHINE SR,60,1,2,7,14,30,CANCELLED PRE MARKET
326,2346397,NA,MORPHINE SULFATE 100 MG,TABLET (EXTENDED-RELEASE),ORAL,NTP-MORPHINE SR,100,0,1,0,0,0,CANCELLED PRE MARKET
327,2346400,NA,MORPHINE SULFATE 200 MG,TABLET (EXTENDED-RELEASE),ORAL,NTP-MORPHINE SR,200,0,0,0,0,0,CANCELLED PRE MARKET
328,2347180,Keep,TRAMADOL HYDROCHLORIDE 37.5 MG,TABLET,ORAL,TEVA-TRAMADOL/ACETAMINOPHEN,3.75,13,24,91,182,390,MARKETED
329,2349469,Keep,TRAMADOL HYDROCHLORIDE 50 MG,TABLET,ORAL,ULTRAM,5,10,18,70,140,300,MARKETED
330,2350815,NA,MORPHINE SULFATE 15 MG,TABLET (EXTENDED-RELEASE),ORAL,MORPHINE SR,15,3,6,21,42,90,MARKETED
331,2350890,NA,MORPHINE SULFATE 30 MG,TABLET (EXTENDED-RELEASE),ORAL,MORPHINE SR,30,2,3,14,28,60,MARKETED
332,2350912,NA,MORPHINE SULFATE 60 MG,TABLET (EXTENDED-RELEASE),ORAL,MORPHINE SR,60,1,2,7,14,30,MARKETED
333,2350920,NA,MORPHINE SULFATE 100 MG,TABLET (EXTENDED-RELEASE),ORAL,MORPHINE SR,100,0,1,0,0,0,CANCELLED POST MARKET
334,2350947,NA,MORPHINE SULFATE 200 MG,TABLET (EXTENDED-RELEASE),ORAL,MORPHINE SR,200,0,0,0,0,0,CANCELLED POST MARKET
